,game1,game2
0,1,1262
1,4,1762
2,8,641
3,9,732
4,35,739
5,47,497
6,67,270
7,73,1243
8,78,524
9,88,3046
10,93,557
11,100,1614
12,103,1635
13,104,419
14,109,3350
15,112,569
16,114,3076
17,123,693
18,128,1943
19,132,906
20,148,2445
21,151,741
22,167,1942
23,180,1199
24,205,2460
25,209,1315
26,224,1626
27,237,1671
28,248,3226
29,249,1594
30,255,603
31,263,3566
32,269,701
33,274,2800
34,284,1362
35,286,1178
36,295,2816
37,308,1612
38,310,706
39,320,2447
40,323,556
41,324,985
42,327,2255
43,332,2788
44,334,3287
45,338,1698
46,350,2604
47,358,1712
48,359,1333
49,365,3285
50,376,533
51,377,532
52,391,2362
53,423,1851
54,425,1214
55,433,2019
56,458,761
57,460,3495
58,465,3123
59,469,1163
60,470,3080
61,480,2399
62,507,2607
63,517,3325
64,542,1211
65,552,1083
66,554,2771
67,570,2152
68,573,3006
69,574,3389
70,610,1122
71,625,2227
72,638,2150
73,642,1449
74,652,1349
75,653,3075
76,656,1343
77,663,2770
78,680,3091
79,687,2246
80,699,1633
81,702,1232
82,744,3331
83,746,3332
84,748,2666
85,750,2236
86,802,2979
87,809,1196
88,828,1104
89,856,1158
90,874,3016
91,888,1904
92,892,2289
93,993,3469
94,1000,1580
95,1002,1678
96,1055,1175
97,1075,1356
98,1088,2299
99,1089,2316
100,1090,2329
101,1091,3447
102,1092,2148
103,1093,3298
104,1096,2496
105,1098,2333
106,1100,3494
107,1102,2341
108,1103,3564
109,1105,2446
110,1108,2307
111,1109,3735
112,1110,3477
113,1111,2359
114,1113,2394
115,1114,2345
116,1117,3353
117,1118,2092
118,1120,2432
119,1123,2406
120,1124,2348
121,1126,2415
122,1128,2374
123,1129,2306
124,1131,3531
125,1133,2253
126,1134,1953
127,1135,2691
128,1136,3008
129,1137,2627
130,1139,3485
131,1143,3542
132,1145,2830
133,1146,2632
134,1147,1927
135,1148,3725
136,1152,2541
137,1154,2927
138,1155,3723
139,1156,3714
140,1157,2375
141,1159,2210
142,1161,1351
143,1162,3488
144,1165,3669
145,1167,3460
146,1168,3514
147,1170,2668
148,1171,2412
149,1176,2353
150,1177,3671
151,1179,2689
152,1181,3730
153,1182,3709
154,1183,2132
155,1185,3321
156,1190,2501
157,1193,2878
158,1194,3706
159,1195,2396
160,1197,2491
161,1198,2314
162,1200,2778
163,1201,2525
164,1202,3083
165,1203,2321
166,1204,2882
167,1205,1828
168,1206,1583
169,1209,3197
170,1210,2330
171,1213,2498
172,1215,2387
173,1216,2259
174,1217,3377
175,1220,2507
176,1221,2488
177,1222,2347
178,1224,3198
179,1226,3646
180,1229,2337
181,1231,2360
182,1233,2366
183,1235,3395
184,1236,2370
185,1237,2371
186,1238,3617
187,1239,3652
188,1240,2508
189,1244,2408
190,1246,2942
191,1247,2556
192,1248,1424
193,1250,2167
194,1254,2389
195,1255,2993
196,1257,2520
197,1260,3660
198,1261,2521
199,1264,2170
200,1265,2397
201,1267,2490
202,1268,2743
203,1269,3020
204,1270,3399
205,1271,2469
206,1272,3400
207,1273,2511
208,1274,3061
209,1275,2503
210,1276,2523
211,1278,2114
212,1279,2243
213,1281,3729
214,1282,3463
215,1283,2291
216,1284,2123
217,1285,2573
218,1286,2293
219,1287,2489
220,1289,2160
221,1290,1534
222,1291,2386
223,1292,2708
224,1293,3674
225,1296,3731
226,1297,2544
227,1298,2331
228,1300,2428
229,1302,1586
230,1303,2441
231,1307,2336
232,1308,3518
233,1309,2344
234,1310,2302
235,1313,2547
236,1314,2221
237,1316,3335
238,1318,2233
239,1319,1977
240,1320,2837
241,1321,2465
242,1325,1982
243,1326,2444
244,1328,2283
245,1329,2673
246,1330,2470
247,1331,2471
248,1335,2532
249,1336,2452
250,1337,2479
251,1338,3005
252,1340,1925
253,1341,3291
254,1345,2250
255,1346,3280
256,1348,2086
257,1353,2524
258,1354,1973
259,1357,2676
260,1358,2499
261,1359,2628
262,1361,2820
263,1364,2611
264,1366,2020
265,1367,2730
266,1368,2713
267,1371,2638
268,1372,3045
269,1374,2639
270,1376,2484
271,1377,2625
272,1379,2380
273,1380,2531
274,1381,2381
275,1382,2802
276,1383,2518
