,game1,game2,home_x,away_x,away_win
0,1,1262,7.0,-5.0,0.0
1,4,1762,12.0,10.0,1.0
2,8,641,18.0,11.0,1.0
3,9,732,8.0,-9.0,0.0
4,35,739,45.0,-8.0,0.0
5,47,497,-1.0,-13.0,0.0
6,67,270,-10.0,-32.0,0.0
7,73,1243,9.0,-13.0,0.0
8,78,524,18.0,-2.0,0.0
9,88,3046,-3.0,-6.0,0.0
10,93,557,3.0,-21.0,0.0
11,100,1614,-4.0,-10.0,0.0
12,103,1635,-11.0,-9.0,0.0
13,104,419,-17.0,-9.0,0.0
14,109,3350,-8.0,-2.0,0.0
15,112,569,12.0,34.0,1.0
16,114,3076,-19.0,-26.0,0.0
17,123,693,38.0,31.0,1.0
18,128,1943,33.0,3.0,1.0
19,132,906,3.0,-9.0,0.0
20,148,2445,-3.0,-7.0,0.0
21,151,741,14.0,-9.0,0.0
22,167,1942,3.0,-1.0,0.0
23,180,1199,-5.0,-11.0,0.0
24,205,2460,1.0,-4.0,0.0
25,209,1315,-16.0,-18.0,0.0
26,224,1626,36.0,10.0,1.0
27,237,1671,14.0,-11.0,0.0
28,248,3226,-10.0,3.0,1.0
29,249,1594,4.0,-13.0,0.0
30,255,603,7.0,-21.0,0.0
31,263,3566,15.0,6.0,1.0
32,269,701,-2.0,-1.0,0.0
33,274,2800,16.0,20.0,1.0
34,284,1362,13.0,-11.0,0.0
35,286,1178,6.0,4.0,1.0
36,295,2816,29.0,14.0,1.0
37,308,1612,-18.0,8.0,1.0
38,310,706,-3.0,15.0,1.0
39,320,2447,15.0,-10.0,0.0
40,323,556,-4.0,-1.0,0.0
41,324,985,-9.0,-16.0,0.0
42,327,2255,27.0,10.0,1.0
43,332,2788,-1.0,-16.0,0.0
44,334,3287,26.0,-1.0,0.0
45,338,1698,25.0,-3.0,0.0
46,350,2604,5.0,-17.0,0.0
47,358,1712,-5.0,-7.0,0.0
48,359,1333,19.0,17.0,1.0
